lemma	paradigm_size
chica	2
chicago	1
chicanerito	1
chich	1
chico	2
chiesa	1
chihuahua	1
chilaba	1
chilavert	1
children	1
childs	1
chile	1
chileno	4
chilevid	1
chillar	3
chillida	1
chillón	2
chiloé	1
chimenea	1
chimera	1
china	1
chincheta	1
chinchiná	1
chinela	1
chingo	1
chinni	1
chino	4
chip	2
chipirón	1
chiquilla	1
chiquillada	1
chiquillo	1
chiquita	1
chirac	1
chirigota	1
chiringuito	1
chirriar	1
chirucas	1
chispa	1
chispazo	1
chispero	1
chisporroteo	1
chiste	2
chistera	1
chistoso	1
chitiva	1
chitsaya	1
chivato	2
chivo	1
chií	1
cho	1
chocante	1
chocar	3
chocolate	2
chofer	1
chogolisa	1
chollo	1
choque	2
chowdhry	1
choza	2
chozas	1
chris	1
christian	1
christiania	1
christiansen	1
christopher	1
chuchifrito	1
chucho	1
chueca	1
chulo	1
chupa	1
chupar	2
chupasangre	1
chups	1
church	1
churchill	1
churra	1
churras	1
churri	1
churro	1
chus	1
chute	1
chándal	2
chárter	2
chávez	1
ché	1
chófer	1
cia	1
ciampi	1
cianimino	1
ciao	1
ciba	1
cibeles	1
ciberespacio	1
cibrao	1
cicatriz	1
ciclismo	1
ciclista	2
ciclo	2
ciclomotor	2
ciclooctatetraeno	1
ciclotimia	1
ciclón	1
cid	1
ciega	1
ciegas	1
ciego	3
cielo	2
cien	1
ciencia	2
ciencias	1
cienmilímetro	1
cieno	1
ciento	2
científica	2
científicamente	1
científico	4
científicos	1
cierne	1
cierre	2
ciertamente	1
cierto	4
ciervo	1
cifra	2
cifrado	1
cifrar	3
cigarrillo	2
cigarro	1
cilandrillo	1
cilindro	1
cima	2
cimarron	1
cimentación	1
cimentar	2
cimiento	1
cinco	1
cincuenta	1
cindy	1
cine	2
cineasta	1
cinema	1
cinemateka	1
cinematografía	1
cinematográfico	3
cinismo	1
cinta	2
cintura	1
cinturón	1
ciocarlia	1
ciprià	1
ciprés	1
circense	2
circo	1
circuit	1
circuito	2
circulación	1
circulado	1
circulante	1
circular	10
circulatorio	1
circundante	1
circundar	1
circunscribir	1
circunscripción	2
circunstancia	2
circunstanciado	1
circunstancial	1
circunvalación	1
circustancia	1
cirio	1
cirrosis	1
cirugía	1
cis	1
ciscar	1
cisjordania	1
cisjordano	1
cisma	1
cisne	1
cisterna	2
cita	2
citación	1
citado	4
citar	10
cite	1
citigroup	1
citoplasma	1
citroen	1
city	1
ciu	1
ciudad	2
ciudadana	2
ciudadano	4
ciudadanos	1
ciudadanía	1
ciudadela	1
ciudadrealeño	1
ciutadana	1
ciutadans	1
ciutadella	1
ciutat	1
civil	2
civiles	1
civilización	2
civilizadamente	1
civilizado	2
civilmente	1
civils	1
civit	1
cizaña	1
ciències	1
ciénaga	2
clair	1
clamar	1
clamor	2
clamoroso	1
clan	1
clandestinidad	1
clandestino	3
claqué	1
claramente	1
clarence	1
claret	1
claridad	1
clarificación	1
clarificador	1
clarificar	2
clark	1
claro	4
clarín	2
clarísimo	1
clase	2
clasicismo	1
clasificación	1
clasificado	3
clasificar	4
clasificatorio	1
clasista	1
classic	1
claude	1
claudia	1
claudicación	1
claudicante	1
claudicar	2
claudio	1
claustro	1
clausura	1
clausurar	5
clavado	2
clavar	3
clavasquin	1
clave	2
claveguera	1
claves	1
clavet	1
clavo	2
clavícula	1
clement	1
clemente	1
clerical	1
clero	1
clewlow	1
cliente	2
clientela	1
clientelismo	1
clifford	1
clift	1
cliftons	1
clima	2
climatológico	1
climático	2
clinton	1
clippers	1
cln	1
cloaca	1
clob	1
clonación	1
clonar	1
clos	1
clot	1
clotas	1
clovis	1
clown	1
club	3
clubes	1
clyde	1
clásica	1
clásicamente	1
clásico	4
cláusula	2
cléber	1
clérigo	1
clímax	1
clínic	1
clínica	1
clínicamente	1
clínico	3
clónico	2
cm	1
cmb	1
cmt	1
cna	1
cnb	1
cnbc	1
cne	1
cnmv	1
cnn	1
cnrt	1
cnt	1
co	1
coaccionar	1
coacción	1
coalición	2
coartada	2
coates	1
cobalto	1
cobarde	1
cobardía	1
cobertizo	1
cobertura	1
cobijar	1
cobijo	1
cobián	1
cobrar	11
cobre	1
cobreloa	1
cobrizo	1
cobro	1
coca	1
cocaína	1
cocción	1
cocer	2
cochabamba	1
cochambrosete	1
cochambroso	1
coche	2
cochecito	1
cochera	1
cocina	2
cocinar	3
cocinera	1
cocinero	1
coco	1
cocodrilo	1
cocotazo	1
codazo	1
codear	1
codicia	1
codiciado	1
codificación	1
codificar	1
codigo	1
codirector	1
codo	2
coeficiente	2
coercitivo	2
coescribir	1
coetzer	1
coexistencia	1
coexistir	2
cofradía	1
cofundador	1
coger	11
cogito	1
cogote	1
cohabitación	1
cohecho	1
cohen	1
coherencia	2
coherente	2
cohesionado	1
cohesión	1
cohete	2
cohorte	1
coi	1
coia	1
coima	1
coimbra	1
coincidencia	2
coincidir	12
coira	1
cojear	1
cojo	1
cola	1
colaboracionista	1
colaboración	2
colaborador	2
colaborar	10
colación	1
colapsado	3
colapsar	4
colapso	1
colar	6
colbert	1
colchonero	1
colchón	2
coleccionable	1
coleccionar	2
coleccionista	1
colección	2
colecta	1
colectivamente	1
colectividad	2
colectivización	1
colectivizador	1
colectivo	4
colector	1
colega	2
colegiado	3
colegio	2
colegios	1
colegir	1
colegislador	1
coleta	1
coley	1
colgado	1
colgante	1
colgar	4
coliflor	1
colilla	1
colin	1
colindante	1
colirio	1
coliseo	1
colisionar	2
colisión	2
colista	1
colisur	1
coll	1
colla	1
collado	1
collage	1
collantes	1
collar	1
collazos	1
collboni	1
collet	1
collor	1
colls	1
colmar	2
colmenar	1
colmo	1
colo	1
colocación	1
colocado	4
colocar	12
colofón	1
colom	1
coloma	1
colombia	1
colombiana	1
colombiano	4
colomer	1
colomines	1
colonia	2
colonial	2
colonización	1
colonizador	1
colonna	1
colono	1
color	2
colorado	1
coloreado	1
colorete	1
colors	1
colorín	1
coloso	1
colsa	1
columbia	1
columbrar	1
columna	2
columnista	1
colza	1
colón	1
com	1
coma	1
comadre	2
comadrona	1
comanche	1
comandado	1
comandancia	1
comandante	2
comando	2
comarca	2
comarcal	2
comas	1
combate	2
combatiente	2
combatientes	1
combatir	9
combativo	1
combinación	2
combinado	2
combinar	5
combustible	2
combustión	1
come	1
comedia	1
comediants	1
comedido	1
comedor	1
comensal	1
comentado	2
comentar	9
comentario	2
comentarista	1
comenzar	18
comer	10
comercial	2
comercialización	1
comercializador	1
comercializar	6
comercialmente	1
comerciante	2
comerciar	1
comercio	2
comerç	1
comestible	1
cometer	10
cometido	4
comezón	1
comicial	1
comicidad	1
comicio	1
comida	2
comienzo	2
comienzos	1
comillas	1
comisaria	1
comisariado	1
comisario	2
comisaría	2
comisarías	1
comisionado	1
comisiones	1
comisión	2
comiskey	1
comitiva	1
comité	1
comités	1
commercial	1
commerzbank	1
como	1
comodidad	1
comodín	1
compacto	2
compadecer	2
compadre	1
compaginar	3
companyia	1
companys	1
comparable	1
comparación	2
comparado	2
comparar	4
comparativamente	1
comparativo	1
comparecencia	1
comparecer	6
compartido	4
compartimento	2
compartir	16
compasivo	2
compasión	1
compatibilidad	1
compatibilizar	1
compatible	2
compatriota	2
compañera	2
compañero	2
compañía	2
compenetrado	1
compensación	2
compensado	1
compensar	9
compensatorio	3
competencia	2
competencial	1
competente	2
competer	1
competición	2
competidor	1
competidora	1
competir	8
competitividad	1
competitivo	4
compinche	1
complacencia	2
complacer	3
complejidad	1
complejo	4
complementar	6
complementario	4
complemento	2
completado	1
completamente	1
completar	10
completo	4
complicación	2
complicado	4
complicadísimo	1
complicar	5
complicidad	1
complot	1
complutense	1
componente	2
componer	5
comportamiento	2
comportar	8
composición	1
composite	1
compositor	2
compostaje	1
compostela	1
compra	2
comprado	3
comprador	2
comprar	12
compraventa	1
comprender	12
comprendido	2
comprensible	2
comprensivo	1
comprensión	1
compresión	1
compresor	1
comprimido	1
comprobación	1
comprobar	5
comprometedor	1
comprometer	10
comprometido	3
compromisario	2
compromiso	2
compuerta	1
compuesto	3
compulsivo	1
computación	1
computador	1
computadores	1
computerizada	1
computerizado	1
compás	2
comtal	1
comulgar	2
comuna	1
comunes	1
comunicacionales	1
comunicaciones	1
comunicación	2
comunicado	3
comunicar	11
comunicativo	1
comunidad	2
comunidades	1
comunismo	1
comunista	2
comunitaria	1
comunitario	4
comunitat	1
comunión	1
común	2
comúnmente	1
con	1
conato	1
concacaf	1
concebido	1
concebir	4
conceder	11
concedido	4
conceicao	1
conceiçao	1
concejal	2
concejala	1
concejo	1
concentración	2
concentrado	3
concentrar	11
concepción	2
concept	1
concepto	2
conceptualización	1
concerniente	1
concernir	1
concertación	1
concertado	2
concertar	1
concesionaria	1
concesionario	3
concesión	2
concha	2
conchita	1
conciencia	1
concienciación	1
concienciado	1
concienciar	1
concienzudamente	1
concienzudo	1
concierto	2
conciliación	1
conciliador	1
conciliar	1
concilio	1
conciudadano	1
concluido	2
concluir	13
conclusión	2
concreción	1
concretado	1
concretamente	1
concretar	7
concreto	4
concurrencia	1
concurrente	1
concurrido	2
concurrir	6
concurso	2
concòrdia	1
condado	2
condal	1
conde	1
condecoración	1
condena	2
condenable	1
condenado	3
condenar	12
condenatorio	2
condensar	1
condes	1
condicionado	3
condicional	1
condicionalmente	1
condicionante	1
condicionar	5
condiciones	1
condición	2
condimentar	1
condolencia	1
condonación	1
condonado	1
conducción	2
conducido	1
conducir	11
conducta	2
conductividad	2
conducto	1
conductor	4
conductora	1
conecta	1
conectado	2
conectar	8
conecticut	1
conejo	2
conesa	1
conexión	2
confebask	1
confeccionado	2
confeccionar	1
confección	1
confederaciones	1
confederació	1
confederación	2
confederal	1
conferco	1
conference	1
conferencia	2
conferenciante	1
conferir	2
confesar	6
confesional	1
confesión	2
confesor	1
confeti	1
confiable	1
confiado	2
confianza	2
confiar	11
confidencial	1
confidente	1
confidential	1
configuración	2
configurar	3
confinamiento	1
confinar	2
confirmación	1
confirmado	4
confirmar	15
confis	1
confiscación	1
confiscado	1
confiscar	2
confiscatorio	1
conflictividad	1
conflictivo	3
conflicto	2
confluencia	2
confluir	3
conformado	3
conformar	9
conforme	1
conformidad	1
conformista	1
confort	1
confortar	1
confrontación	1
confrontar	2
confundir	8
confusionista	1
confusión	2
confuso	3
confín	2
conga	1
congelación	1
congelado	1
congelador	2
congelar	2
conglomerado	1
congo	1
congojo	1
congraciar	1
congratular	1
congregación	1
congregado	1
congregar	2
congresillo	1
congresista	2
congreso	2
congresos	1
congresual	1
conjetura	2
conjugado	2
conjugar	1
conjuntado	1
conjuntamente	1
conjuntar	1
conjunto	4
conjurar	2
conllevar	4
conmemoración	2
conmemorar	3
conmemorativo	3
conminar	1
conminatorio	1
conmocionado	1
conmocionar	1
conmoción	1
conmovedor	1
conmover	5
conmovido	1
conmutación	1
connect	1
connecticut	1
connery	1
connivencia	1
cono	1
conocedor	4
conocer	21
conocido	4
conocimiento	2
conozca	1
conquista	2
conquistado	1
conquistador	1
conquistar	6
consabido	1
consagrado	1
consagrar	4
consciente	2
conscientemente	1
consecución	1
consecuencia	2
consecuencias	1
consecuente	1
consecutivo	4
conseguido	4
conseguir	22
consejera	1
consejero	2
consejería	2
consejo	2
consell	1
conselleiro	1
conseller	2
conselleria	1
conselleries	1
consenso	2
consensuado	1
consensuar	3
consentimiento	1
consentir	2
consep	1
conserje	1
conserva	1
conservación	1
conservador	4
conservadurismo	1
conservar	8
conservatori	1
considerable	2
considerablemente	1
consideración	2
considerado	3
considerar	20
consigna	2
consignar	2
consignatario	1
consiguiente	2
consistencia	1
consistente	2
consistir	4
consistorio	2
consola	1
consolador	1
consolar	2
consolidación	1
consolidado	2
consolidar	7
consomé	1
consorcio	2
consorte	1
conspiración	2
conspirar	1
constancia	1
constante	2
constantemente	1
constantino	1
constantinos	1
constar	8
constatación	1
constatar	9
constelación	1
consternación	1
constitucional	2
constitucionalidad	1
constitucionalismo	1
constitucionalista	1
constituciones	1
constitución	2
constituido	4
constituir	9
constituyente	1
constreñir	1
construcciones	1
construcción	2
constructivo	3
constructor	4
construido	4
construir	12
consuelo	1
consular	1
consulta	2
consultado	2
consultar	4
consulting	1
consultiva	1
consultivo	1
consultor	2
consultora	1
consultorio	1
consultoría	1
consumar	6
consumido	1
consumidor	2
consumidores	1
consumidors	1
consumir	7
consumo	2
consustancial	1
contabilidad	1
contabilizar	4
contable	2
contactar	4
contacto	2
contado	3
contador	1
contagiar	4
contagio	1
contaminación	1
contaminado	2
contaminante	1
contaminar	1
contar	16
contemplación	2
contemplado	1
contemplar	10
contemporani	1
contemporáneo	3
contencioso	2
contención	1
contendiente	1
contenedor	2
contenedores	1
contener	7
contenido	4
contentar	1
contento	2
conteo	1
contestado	2
contestador	1
contestar	5
contestatariamente	1
contexto	1
contienda	2
contiguo	1
continental	1
continente	2
contingencia	2
contingente	1
continua	1
continuación	1
continuado	3
continuamente	1
continuar	12
continuidad	1
continuismo	1
continuista	1
continuo	4
contorsionarse	1
contra	2
contraatacar	1
contraataque	1
contrabajista	1
contrabandista	1
contrabando	1
contractual	1
contractura	1
contradecir	3
contradicción	2
contradictoriamente	1
contradictorio	2
contraer	3
contragolpe	2
contraindicación	1
contraindicado	1
contraión	1
contrajuego	1
contraluz	1
contramedida	1
contrapartida	1
contrapié	1
contraponer	4
contraposición	1
contraproducente	1
contrapunto	1
contrariamente	1
contrario	3
contrarreloj	1
contrarrelojista	1
contrarrestar	1
contrasentido	1
contrastado	1
contrastar	6
contraste	1
contrata	1
contratación	2
contratado	3
contrataque	1
contratar	7
contratas	1
contraterrorista	1
contratiempo	1
contrato	2
contravenir	1
contravigilancia	1
contraído	1
contreras	1
contribución	2
contribuir	11
contributivo	1
contribuyente	2
contrincante	1
control	2
controlable	1
controlado	3
controlador	1
controlar	11
controversia	2
controvertido	3
contundencia	1
contundente	2
contundentemente	1
contusión	1
convaleciente	1
convalidación	1
convalidar	1
convecino	1
convencer	5
convencido	3
convencimiento	1
convencional	2
convencionalidad	1
convención	2
conveniencia	2
conveniente	2
convenientemente	1
convenio	2
convenir	5
convento	1
convergencia	2
convergente	2
converger	1
convergir	2
convergència	1
convergéncia	1
conversación	2
conversar	7
conversión	1
convertido	4
convertir	19
convicción	1
convicto	1
convincente	1
convivencia	1
convivir	6
convocado	4
convocante	1
convocar	13
convocatoria	2
convoy	2
convulsionado	1
convulsionar	1
convulsión	2
convulso	1
conyers	1
conyugal	1
cook	1
cooperación	2
cooperar	2
cooperativa	2
cooperativista	1
cooperativo	2
coordenada	1
coordinación	1
coordinado	3
coordinador	1
coordinadora	1
coordinar	4
coorganizado	1
copa	2
copacabana	1
copar	4
copas	1
copatrocinador	1
cope	1
copeland	1
copenhague	1
copero	1
copetín	1
copia	2
copiar	5
copiloto	1
copo	1
copp	1
coppi	1
copresentar	1
copresidencia	1
copresidente	1
copresidir	1
coproducido	1
copular	2
copyme	1
coqueta	1
coquetear	1
coquetería	1
coquetón	1
coquimbo	1
cor	1
corachán	1
coraje	1
corajudo	1
coral	2
coraza	1
corazonada	1
corazoncito	1
corazón	2
corbacho	1
corbata	2
corcuera	1
cordero	2
cordialidad	1
cordillera	2
cordura	1
cordón	1
corea	1
coreado	1
coreano	3
corear	4
coreas	1
coreografiado	2
coreografía	1
coretja	1
corey	1
coria	1
corinthiano	2
corinthians	1
corleonesa	1
corliss	1
cornalón	1
cornejo	1
cornellà	1
cornisa	1
coro	2
corominas	1
corona	2
coronación	1
coronado	1
coronar	3
coronario	1
coronel	2
coronela	1
corozal	1
corporació	1
corporación	2
corporal	1
corporation	1
corporativista	1
corporativo	1
corpulento	3
corpus	1
corpóreo	2
corral	2
corralito	1
correa	1
correcaminos	1
correccional	1
corrección	1
correcta	1
correctamente	1
correctivo	2
correcto	3
corrector	2
corredor	2
corredora	1
corregir	4
correlato	1
correligionario	2
correo	1
correos	1
correoso	1
correr	13
correría	1
correspondencia	1
corresponder	11
correspondiente	2
corresponsabilidad	1
corresponsable	1
corresponsal	2
corretja	1
corrida	1
corriente	2
corrientes	1
corriere	1
corrimiento	1
corroborar	4
corromper	1
corrosivo	2
corrosión	1
corrupción	1
corrupto	4
corso	2
corta	1
cortado	3
cortapisa	1
cortar	10
corte	2
cortejo	1
cortes	1
cortesano	1
cortesía	1
cortina	2
corto	3
cortometraje	1
cortés	1
coruña	1
coruñés	1
corvo	1
corán	1
coránico	1
cos	1
cosa	2
cosecha	2
cosechado	1
cosechar	4
coser	2
coslada	1
cosme	1
cosmin	1
cosmonauta	2
cosmopolita	2
cosmos	1
cosmética	1
cosmético	3
cosnep	1
cosquilleo	1
costa	2
costal	1
costar	12
costarricense	2
coste	2
costear	3
costello	1
costero	3
costilla	1
costo	2
costoso	3
costumbre	2
costumbrista	1
cosworth	1
cosías	1
cota	2
cotarro	1
cotidianamente	1
cotidianidad	1
cotidiano	4
cotización	2
cotizado	3
cotizar	8
coto	1
cottbus	1
coturno	1
cotxeres	1
couceiro	1
coulomb	1
coulthard	1
coulómbico	1
counter	1
country	1
cours	1
covadonga	1
covalente	1
covas	1
covenciones	1
covent	1
cover	1
cowan	1
coyuntura	2
coyuntural	1
coz	1
coñac	1
coño	1
cpbc	1
cpe	1
cpi	1
cr	1
cra	1
crack	1
cracks	1
craiova	1
cram	1
crancs	1
craso	1
craven	1
creación	2
creado	4
creador	3
crear	14
creatividad	1
creativo	3
crecer	11
creces	1
crecido	1
creciente	2
crecimiento	2
credencial	1
credibilidad	1
credisa	1
crediticio	2
creek	1
creencia	2
creer	17
crema	2
crematorio	1
cremona	1
crepitar	1
crepuscular	1
crepúsculo	1
crespo	1
crespón	1
cresta	1
creta	1
cretino	1
creu	1
creus	1
creyente	1
creíble	2
crianza	1
criar	2
criatura	2
crime	1
crimen	2
criminal	2
criminalidad	1
criminalizado	1
criminalizar	2
criollo	1
cripta	1
crisis	1
crispación	1
crispado	1
cristal	2
cristalera	1
cristalería	1
cristalinidad	1
cristalino	2
cristalización	1
cristalizar	2
cristalográfico	1
cristia	1
cristian	1
cristiana	1
cristianismo	1
cristiano	4
cristianodemócrata	2
cristianos	1
cristina	1
cristián	1
cristo	1
cristóbal	1
criterio	2
criterium	1
critica	1
criticable	1
criticado	2
criticar	11
critique	1
crivillé	1
croacia	1
croata	2
crochet	1
croissier	1
cromo	1
cromático	1
cronista	1
crono	1
cronología	1
cronológico	1
cronos	1
cross	1
crowe	1
crowford	1
crs	1
crt	1
cruce	2
crucero	2
cruceño	1
cruchaga	1
crucial	2
crucificar	1
crucis	1
crudelísimamente	1
crudeza	1
crudo	2
crue	1
cruel	2
crueldad	1
cruells	1
cruelmente	1
cruento	2
cruising	1
crujir	2
cruyff	1
cruz	2
cruzada	1
cruzado	3
cruzar	10
cráneo	1
crédito	2
cría	2
crío	1
críptico	2
crítica	3
críticamente	1
crítico	4
crónica	2
crónicas	1
crónico	2
csen	1
csf	1
csic	1
csif	1
csob	1
csu	1
ctc	1
ctu	1
cuaderno	1
cuadernos	1
cuadra	1
cuadrado	2
cuadrangular	2
cuadrar	2
cuadratura	1
cuadriciclo	2
cuadrilátero	2
cuadro	2
cuadros	1
cuajar	2
cuajo	1
cual	2
cualidad	1
cualificación	1
cualificado	3
cualitativo	1
cualquier	1
cualquiera	2
cuam	1
cuando	1
cuantificación	1
cuantificar	1
cuantioso	1
cuantitativo	1
cuanto	3
cuantía	1
cuarenta	1
cuarentena	1
cuarta	1
cuartel	2
cuartelillo	1
cuarteto	1
cuartilla	1
cuarto	3
cuartos	1
cuasimaniqueismo	1
cuatrimestre	1
cuatro	1
cuauhtémoc	1
cuba	2
cubana	1
cubano	4
cubata	1
cubertería	1
cubierta	1
cubierto	4
cubil	1
cubino	1
cubismo	1
cubo	1
cubrimiento	1
cubrir	11
cucaracha	1
cucharada	1
cuchillo	2
cuello	2
cuenca	2
cuenta	2
cuentagotas	1
cuentakilómetros	1
cuentas	1
cuento	2
cuentos	1
cuerda	2
cuerno	1
cuero	1
cuerpo	2
cuervas	1
cuervo	1
cuesta	1
cuestas	1
cuestionable	1
cuestionado	2
cuestionar	8
cuestionario	1
cuestión	2
cueva	2
cuevas	1
cugat	1
cugnot	1
cuidado	3
cuidador	1
cuidados	1
cuidadosamente	1
cuidadoso	1
cuidar	8
cuita	1
cuixart	1
cuiña	1
culebrear	2
culebrón	1
culinario	3
culladas	1
cullell	1
cullen	1
culminación	1
culminado	1
culminar	8
culo	1
culpa	2
culpabilidad	1
culpable	2
culpar	6
cultivable	1
cultivado	1
cultivador	2
cultivar	3
cultivo	2
culto	3
cultura	2
cultural	2
culturales	1
culturalista	1
culturalmente	1
culé	1
culés	1
cumama	1
cumbre	2
cumellas	1
cumming	1
cumpleaños	1
cumplido	2
cumplimentar	2
cumplimiento	1
cumplir	17
cuna	1
cunar	1
cundir	1
cuneta	1
cunqueiro	1
cuny	1
cuní	1
cuota	2
cup	1
cupletera	1
cupo	2
cuponazo	1
cupón	2
cura	2
curación	2
curado	1
curar	1
curaçao	1
curcoy	1
cure	1
curia	1
curiosamente	1
curiosear	1
curiosidad	1
curioso	3
currar	1
currinche	1
curro	1
currículo	2
currículum	1
cursado	1
cursar	4
cursilería	1
curso	2
curtido	1
curtis	1
curtius	1
curva	2
curvo	1
cusack	1
custodia	1
custodiado	2
custodiar	1
cutre	1
cuttino	1
cutícula	1
cuyo	4
cuzco	1
cuádruple	1
cuál	2
cuán	1
cuándo	1
cuánto	4
cuña	1
cuñado	1
cuño	1
cv	1
càritas	1
cáceres	1
cádiz	1
cálculo	2
cálido	1
cámara	2
cámaras	1
cáncer	2
cándida	1
cándido	2
cántabro	2
cántico	1
cápita	1
cápsula	1
cárcel	2
cárdenas	1
cárnico	4
cártel	1
cáscara	1
cáspita	1
cátedra	1
cátodo	1
cáucaso	1
cédula	2
célebre	1
céltico	1
célula	2
células	1
céntimo	1
céntrico	3
césar	1
césares	1
césped	1
cía	1
cíclicamente	1
cíclico	1
cínico	2
círculo	2
cítrico	1
cívica	1
cívico	3
cóctel	2
código	2
cólera	1
cómico	4
cómo	1
cómodamente	1
cómodo	3
cómplice	2
cómputo	1
cónclave	1
cóndor	1
cónyuge	2
córcega	1
córdoba	1
córner	1
córtex	1
cósmico	1
cúbico	2
cúmulo	1
cúper	1
cúpula	1
cúspide	1
d	1
dabrowski	1
dacio	1
dado	4
dador	4
dadoraceptor	1
dae	1
daer	1
dagbladet	1
daguestaníes	1
daguestán	1
daibus	1
daily	1
daimler	1
daimlerbenz	1
daimí	1
dakota	1
dalai	1
dalby	1
dale	1
dalila	1
dallas	1
dalt	1
dalton	1
dalí	1
dama	2
damasco	1
damnificado	2
dan	1
danaida	1
dance	1
dane	1
danesa	1
dani	1
daniel	1
daniella	1
daniels	1
danilo	1
danmark	1
dansa	1
dante	1
danubio	1
danza	2
danzig	1
danés	3
dar	27
dardo	1
dario	1
darlin	1
darmon	1
darnell	1
darryl	1
darse	1
daryle	1
darío	1
data	1
datar	1
dato	2
datos	1
datáfono	1
dau	1
dauder	1
daudén	1
daurada	1
dave	1
davenport	1
david	1
davin	1
davis	1
davor	1
davos	1
day	1
dayna	1
daza	1
dañado	3
dañar	6
dañino	1
daño	2
daños	1
dbk	1
dbttf	1
de	2
dea	1
dealers	1
deambular	1
dean	1
dearborn	1
debajo	1
debate	2
debatir	7
debe	1
deben	1
deber	23
debidamente	1
debido	2
debilidad	2
debilitado	4
debilitar	3
deborah	1
debut	1
debutante	2
debutar	6
debú	1
decadencia	1
decadente	1
decano	1
decantar	4
decapitar	2
decatlón	1
decena	2
decencia	1
decenio	1
decente	1
decepcionado	2
decepcionante	1
decepción	2
decididamente	1
decidido	4
decidir	17
decimoctavo	2
decimocuarto	2
decimoquinto	1
decimosexto	2
decimoséptimo	1
decimotercer	1
decimotercero	2
decir	27
decisivamente	1
decisivo	4
decisión	2
decisorio	1
declaracion	1
declaración	2
declarado	2
declarar	15
declinar	3
declive	1
decomisado	1
decomisar	1
decomiso	1
decoración	1
decorado	3
decorativo	3
decoro	1
decorosamente	1
decreciente	1
decrepitud	1
decretado	1
decretar	4
decreto	2
decretorio	1
decrépito	1
dedicación	1
dedicado	4
dedicar	15
dedicatoria	1
dedo	2
deducción	1
deducible	1
deducir	3
defecto	2
defectuosamente	1
defectuoso	1
defender	16
defendido	3
defenestrado	1
defensa	2
defensivamente	1
defensivo	4
defensor	3
defensora	1
defensoría	1
deferencia	1
deficiencia	2
deficiente	2
deficitario	2
definición	2
definido	4
definir	8
definitiva	1
definitivamente	1
definitivo	4
definitorio	1
deflación	1
defoliante	1
deformado	1
deformante	1
deformar	1
deforme	1
deformidad	1
defraudado	2
defraudar	5
degeneración	1
degenerar	1
degenerativo	1
degollar	1
degradación	1
degradado	2
degradante	1
degradar	3
degraeve	1
degustación	1
degustar	1
deichman	1
dejación	1
dejadez	2
dejado	1
dejar	25
dejarse	1
del	1
delano	1
delanoe	1
delante	1
delantera	1
delantero	4
delatar	3
delegación	2
delegada	1
delegado	3
delegar	1
deleitar	1
delete	1
deletrear	1
delfín	2
delgadez	1
delgado	1
delgadísimo	1
delhi	1
deliberación	1
deliberadamente	1
deliberado	2
delicadeza	1
delicado	3
delictivo	3
delight	1
delimitar	1
delincuencia	1
delincuente	2
delio	1
delirante	1
delirio	2
delito	2
della	1
dello	1
delort	1
delta	1
dely	1
demacrado	1
demagogia	2
demagógicamente	1
demanda	2
demandado	1
demandante	2
demandar	9
demarcación	1
demasiado	4
demencia	1
demet	1
democracia	2
democratacristiano	1
democratico	1
democratización	1
democratizar	1
democristiano	3
democràtica	1
democrática	1
democráticamente	1
democráticas	1
democrático	4
demográfico	1
demoledor	1
demoler	1
demolición	1
demonio	2
demonizar	1
demor	1
demora	1
demorar	6
demos	1
demostración	1
demostrado	3
demostrar	11
demás	1
demócrata	2
demócrito	1
den	1
denegación	1
denegar	5
dengue	1
denis	1
dennis	1
denny	1
denodado	2
denominación	1
denominado	4
denominador	1
denominar	4
denostado	1
densamente	1
densidad	1
denso	2
dent	1
dental	1
dentista	1
dentro	1
dentro_de	1
dentífrico	2
denuncia	2
denunciable	1
denunciado	4
denunciar	9
denver	1
denzel	1
deparar	3
departament	1
departamento	2
dependencia	2
depender	8
dependiente	2
deplorar	1
deponer	1
depor	1
deportación	1
deportado	1
deportar	2
deporte	2
deportes	1
deportista	2
deportiva	1
deportivamente	1
deportividad	1
deportivista	2
deportivo	4
deportivos	1
depositado	1
depositar	7
depre	1
depreciación	1
depreciado	1
depreciar	2
depredador	2
depredar	1
depresivo	1
depresión	1
deprimente	1
deprimido	1
deprisa	1
depuesto	1
depuración	1
depuradora	1
depurar	3
depósito	2
dequeserrie	1
der	1
derbi	2
derecha	2
derechas	1
derechista	2
derecho	3
derechos	1
derelioglu	1
derguy	1
deriva	1
derivación	1
derivado	4
derivados	1
derivar	6
dermatología	1
derogación	1
derogar	1
derramado	3
derramar	5
derrame	1
derrapaje	1
derrell	1
derretir	1
derribar	4
derribo	1
derrick	1
derrocamiento	1
derrocar	2
derrochar	3
derroche	2
derrota	2
derrotado	3
derrotar	7
derrotas	1
derrumbar	2
derrumbe	1
des	1
desaceleración	1
desacelerar	2
desaconsejar	1
desacreditar	1
desactivación	1
desactivado	1
desactivar	2
desacuerdo	2
desafecto	1
desafiar	3
desaforado	1
desafortunadamente	1
desafortunado	2
desafío	2
desagradable	2
desagradar	2
desagrado	1
desaguisado	2
desagüe	1
desahogar	2
desahogo	1
desahuciado	1
desahuciar	1
desairado	2
desajustar	1
desaliento	1
desaliñado	1
desalojar	8
desalojo	2
desamparados	1
desamparo	1
desandado	1
desangrar	1
desanimar	3
desaparecer	11
desaparecido	3
desaparición	1
desapasionado	1
desapercibido	2
desaprender	1
desaprensivo	1
